No.  Input_img    Ref_img    IdentityIssame     Expression_actual    Expression_require    Expression_ref    ExpressionIsrequire
16  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_019.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Fear/P022_Fear_000.png  True  5  5  -1  True
17  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_017.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Fear/P022_Fear_000.png  True  5  5  -1  True
18  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_021.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_000.png  True  3  3  -1  True
19  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_000.png  True  3  3  -1  True
20  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_000.png  True  3  3  -1  True
21  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_019.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_000.png  True  5  5  -1  True
22  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_017.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_000.png  True  5  5  -1  True
23  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_018.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_000.png  True  5  5  -1  True
24  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_021.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Sadness/P022_Sadness_000.png  True  3  3  -1  True
25  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Sadness/P022_Sadness_000.png  True  3  3  -1  True
26  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Sadness/P022_Sadness_000.png  True  3  3  -1  True
27  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_019.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Sadness/P022_Sadness_000.png  True  5  5  -1  True
28  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_018.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Sadness/P022_Sadness_000.png  True  5  5  -1  True
29  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_017.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Sadness/P022_Sadness_000.png  True  5  5  -1  True
30  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_000.png  True  3  3  -1  True
31  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_021.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_000.png  True  3  3  -1  True
32  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Happiness/P022_Happiness_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_000.png  True  3  3  -1  True
33  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_017.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_000.png  True  5  5  -1  True
34  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_018.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_000.png  True  5  5  -1  True
35  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_019.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P022/Surprise/P022_Surprise_000.png  True  5  5  -1  True
36  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Anger/P043_Anger_000.png  True  3  3  -1  True
37  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_024.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Anger/P043_Anger_000.png  True  3  3  -1  True
38  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_025.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Anger/P043_Anger_000.png  True  3  3  -1  True
39  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Anger/P043_Anger_000.png  True  5  5  -1  True
40  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_024.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Anger/P043_Anger_000.png  True  5  5  -1  True
41  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Anger/P043_Anger_000.png  True  5  5  -1  True
42  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_025.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Disgust/P043_Disgust_000.png  True  3  3  -1  True
43  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_024.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Disgust/P043_Disgust_000.png  True  3  3  -1  True
44  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Disgust/P043_Disgust_000.png  True  3  3  -1  True
45  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Disgust/P043_Disgust_000.png  True  5  5  -1  True
46  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_024.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Disgust/P043_Disgust_000.png  True  5  5  -1  True
47  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Disgust/P043_Disgust_000.png  True  5  5  -1  True
48  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_025.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Fear/P043_Fear_000.png  True  3  3  -1  True
49  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_024.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Fear/P043_Fear_000.png  True  3  3  -1  True
50  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Fear/P043_Fear_000.png  True  3  3  -1  True
51  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Fear/P043_Fear_000.png  True  5  5  -1  True
52  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_024.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Fear/P043_Fear_000.png  True  5  5  -1  True
53  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Fear/P043_Fear_000.png  True  5  5  -1  True
54  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_024.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_000.png  True  3  3  -1  True
55  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_000.png  True  3  3  -1  True
56  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_025.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_000.png  True  3  3  -1  True
57  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_024.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_000.png  True  5  5  -1  True
58  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_000.png  True  5  5  -1  True
59  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_000.png  True  5  5  -1  True
60  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_025.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Sadness/P043_Sadness_000.png  True  3  3  -1  True
61  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Sadness/P043_Sadness_000.png  True  3  3  -1  True
62  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_024.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Sadness/P043_Sadness_000.png  True  3  3  -1  True
63  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_024.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Sadness/P043_Sadness_000.png  True  5  5  -1  True
64  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Sadness/P043_Sadness_000.png  True  5  5  -1  True
65  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Sadness/P043_Sadness_000.png  True  5  5  -1  True
66  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_024.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_000.png  True  3  3  -1  True
67  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_000.png  True  3  3  -1  True
68  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Happiness/P043_Happiness_025.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_000.png  True  3  3  -1  True
69  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_023.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_000.png  True  5  5  -1  True
70  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_024.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_000.png  True  5  5  -1  True
71  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P043/Surprise/P043_Surprise_000.png  True  5  5  -1  True
72  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_017.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Anger/P030_Anger_000.png  True  3  3  -1  True
73  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_018.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Anger/P030_Anger_000.png  True  3  3  -1  True
74  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_016.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Anger/P030_Anger_000.png  True  3  3  -1  True
75  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Anger/P030_Anger_000.png  True  5  5  -1  True
76  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_020.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Anger/P030_Anger_000.png  True  5  5  -1  True
77  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_021.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Anger/P030_Anger_000.png  True  5  5  -1  True
78  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_017.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Disgust/P030_Disgust_000.png  True  3  3  -1  True
79  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_016.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Disgust/P030_Disgust_000.png  True  3  3  -1  True
80  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_018.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Disgust/P030_Disgust_000.png  True  3  3  -1  True
81  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Disgust/P030_Disgust_000.png  True  5  5  -1  True
82  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_021.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Disgust/P030_Disgust_000.png  True  5  5  -1  True
83  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_020.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Disgust/P030_Disgust_000.png  True  5  5  -1  True
84  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_016.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Fear/P030_Fear_000.png  True  3  3  -1  True
85  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_018.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Fear/P030_Fear_000.png  True  3  3  -1  True
86  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_017.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Fear/P030_Fear_000.png  True  3  3  -1  True
87  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Fear/P030_Fear_000.png  True  5  5  -1  True
88  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_020.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Fear/P030_Fear_000.png  True  5  5  -1  True
89  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_021.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Fear/P030_Fear_000.png  True  5  5  -1  True
90  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_018.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_000.png  True  3  3  -1  True
91  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_017.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_000.png  True  3  3  -1  True
92  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_016.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_000.png  True  3  3  -1  True
93  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_020.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_000.png  True  5  5  -1  True
94  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_021.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_000.png  True  5  5  -1  True
95  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_000.png  True  5  5  -1  True
96  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_017.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Sadness/P030_Sadness_000.png  True  3  3  -1  True
97  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_018.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Sadness/P030_Sadness_000.png  True  3  3  -1  True
98  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_016.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Sadness/P030_Sadness_000.png  True  3  3  -1  True
99  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_021.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Sadness/P030_Sadness_000.png  True  5  5  -1  True
100  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Sadness/P030_Sadness_000.png  True  5  5  -1  True
101  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_020.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Sadness/P030_Sadness_000.png  True  5  5  -1  True
102  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_018.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_000.png  True  3  3  -1  True
103  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_017.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_000.png  True  3  3  -1  True
104  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Happiness/P030_Happiness_016.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_000.png  True  3  3  -1  True
105  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_021.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_000.png  True  5  5  -1  True
106  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_020.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_000.png  True  5  5  -1  True
107  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_022.png  /data/zming/datasets/Oulu-Casia/VL_Strong_mtcnnpy_182_160/P030/Surprise/P030_Surprise_000.png  True  5  5  -1  True
